,text_length
0,101
1,53
2,550
3,259
4,887
5,85
6,837
7,452
8,701
9,414
10,313
11,455
12,653
13,338
14,328
15,76
16,887
17,438
18,610
19,993
20,982
21,223
22,447
23,155
24,574
25,1000
26,952
27,845
28,722
29,511
30,55
31,882
32,939
33,242
34,267
35,394
36,125
37,73
38,58
39,818
40,363
41,411
42,189
43,418
44,982
45,334
46,725
47,535
48,318
49,379
50,600
51,648
52,1000
53,77
54,212
55,638
56,179
57,465
58,581
59,989
60,156
61,828
62,259
63,997
64,415
65,198
66,560
67,375
68,568
69,367
70,418
71,172
72,627
73,721
74,610
75,321
76,539
77,151
78,283
79,253
80,389
81,902
82,405
83,125
84,664
85,981
86,684
87,892
88,481
89,612
90,755
91,668
92,663
93,424
94,234
95,139
96,562
97,806
98,455
99,977
100,176
101,172
102,961
103,427
104,997
105,738
106,350
107,56
108,720
109,355
110,367
111,238
112,552
113,149
114,821
115,40
116,977
117,155
118,363
119,999
120,818
121,1000
122,41
123,291
124,713
125,996
126,832
127,809
128,1000
129,145
130,218
131,478
132,424
133,938
134,840
135,366
136,310
137,170
138,997
139,778
140,854
141,1000
142,963
143,710
144,994
145,225
146,326
147,807
148,187
149,90
150,767
151,704
152,149
153,318
154,377
155,558
156,876
157,379
158,560
159,220
160,999
161,448
162,394
163,805
164,603
165,439
166,999
167,468
168,404
169,185
170,812
171,572
172,147
173,788
174,656
175,463
176,66
177,604
178,427
179,935
180,463
181,381
182,198
183,967
184,586
185,84
186,634
187,387
188,871
189,843
190,409
191,770
192,171
193,790
194,569
195,582
196,81
197,997
198,495
199,570
200,263
201,932
202,991
203,538
204,999
205,978
206,983
207,610
208,880
209,915
210,360
211,141
212,383
213,702
214,834
215,493
216,508
217,307
218,336
219,859
220,419
221,784
222,680
223,65
224,864
225,711
226,297
227,166
228,921
229,325
230,246
231,288
232,383
233,765
234,627
235,321
236,122
237,254
238,99
239,989
240,786
241,999
242,167
243,620
244,395
245,105
246,186
247,673
248,574
249,965
250,978
251,717
252,641
253,572
254,952
255,992
256,378
257,498
258,225
259,165
260,991
261,978
262,206
263,1000
264,983
265,214
266,246
267,962
268,974
269,169
270,155
271,808
272,713
273,598
274,831
275,353
276,875
277,645
278,805
279,953
280,364
281,550
282,141
283,759
284,966
285,994
286,288
287,178
288,787
289,426
290,437
291,999
292,994
293,987
294,457
295,340
296,998
297,983
298,448
299,292
300,573
301,998
302,303
303,668
304,141
305,668
306,482
307,152
308,130
309,698
310,934
311,507
312,79
313,541
314,131
315,993
316,294
317,136
318,388
319,622
320,626
321,219
322,766
323,840
324,995
325,694
326,86
327,995
328,491
329,961
330,178
331,469
332,211
333,427
334,948
335,921
336,77
337,844
338,213
339,808
340,776
341,776
342,776
343,933
344,643
345,915
346,373
347,309
348,485
349,359
350,643
351,315
352,470
353,34
354,181
355,353
356,706
357,644
358,117
359,476
360,990
361,779
362,541
363,323
364,143
365,464
366,682
367,588
368,723
369,158
370,377
371,58
372,1000
373,999
374,559
375,546
376,42
377,682
378,759
379,398
380,887
381,387
382,997
383,382
384,88
385,244
386,956
387,972
388,991
389,989
390,492
391,792
392,793
393,985
394,65
395,175
396,278
397,794
398,998
399,870
400,350
401,630
402,609
403,59
404,289
405,471
406,246
407,981
408,755
409,110
410,972
411,251
412,178
413,997
414,734
415,490
416,985
417,405
418,357
419,937
420,1000
421,575
422,99
423,101
424,707
425,317
426,112
427,583
428,987
429,299
430,502
431,582
432,711
433,114
434,981
435,449
436,395
437,585
438,29
439,523
440,798
441,264
442,817
443,564
444,255
445,875
446,806
447,699
448,394
449,990
450,748
